Name,Unit Cost,Unit,MU,Cost Code,SKU,Status,Hidden MU,Group,Internal Note,Description
"Install Interior Door - Pre-hung",175.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a standard pre-hung interior door unit (up to 36in wide, 80in high) into a prepared rough opening. Includes shimming, squaring, fastening frame, and testing operation. Excludes trim and hardware installation."
"Modifier: Tall Door (8ft)",50.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"MODIFIER: Additional cost for installing an 8-foot tall interior door. Accounts for increased handling and installation complexity."
"Modifier: Solid Core Door",75.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"MODIFIER: Additional cost for installing a heavy solid core interior door. Accounts for increased weight, handling, and fastening requirements."
"Modifier: Install into Masonry/Concrete Wall",125.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"MODIFIER: Additional cost for installing a door into a prepared masonry or concrete opening. Includes specialized fasteners and additional labor."
"Install Pocket Door Frame",350.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a pocket door frame kit into a prepared rough opening. Includes assembling frame, setting track, and ensuring proper alignment. Excludes drywall and trim."
"Install Door Hardware - Knob/Lever Set",45.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a standard interior or exterior knob/lever set, including latch and strike plate, into a pre-drilled door."
"Install Door Hardware - Deadbolt",55.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a standard deadbolt lock, including latch and strike plate, into a pre-drilled door."
"Modifier: Fresh Drill for Hardware",35.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"MODIFIER: Additional cost to drill a fresh hole pattern for a lockset or deadbolt on a door slab using a jig. For non-pre-drilled doors."
"Install Exterior Door - Pre-hung (Single)",475.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a standard pre-hung exterior door unit. Includes shimming, squaring, fastening, insulating, and basic sealing/flashing. Excludes interior/exterior trim."
"Modifier: Exterior Door with Sidelite(s)",250.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"MODIFIER: Additional cost for installing an exterior door unit that includes one or two sidelites. Accounts for larger frame and increased complexity."
"Install Sliding Patio Door",550.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a standard sliding patio door unit into a prepared rough opening. Includes setting frame, shimming, fastening, and adjusting for smooth operation."
"Install French/Double Patio Doors",750.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a set of pre-hung French or double patio doors. Includes setting frame, hanging both doors, and installing hardware."
"Install Storm Door",180.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a standard storm door over an existing exterior entry door. Includes assembling door, mounting frame, and adjusting closer."
"Install Garage Door - Single",600.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a standard single-car garage door unit. Includes assembling door sections, mounting tracks, and adjusting hardware for proper operation."
"Install Garage Door - Double",800.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a standard double-car garage door unit. Includes assembling door sections, mounting tracks, and adjusting hardware for proper operation."
"Install Garage Door Opener",350.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install a standard garage door opener unit, including mounting motor, setting up tracks, and wiring. Excludes any structural modifications."
"Install Garage Door Hardware - Springs",150.00,each,28.75,"Doors & Hardware (06080)","","Active",,,,"FLAT RATE: Labor to install or replace garage door springs (torsion or extension). Includes adjusting tension and ensuring proper operation."
"Hang Drywall - Walls",1.85,sqft,28.75,"Drywall (06040)","","Active",,,,"FLAT RATE: Labor to hang standard 1/2"" drywall sheets on walls up to 10ft high. Includes professional layout, precision cutting, and secure fastening. Price per square foot of wall surface area."
"Hang Drywall - Ceilings (up to 10ft)",2.45,sqft,28.75,"Drywall (06040)","","Active",,,,"FLAT RATE: Labor to hang standard 1/2"" or 5/8"" drywall sheets on ceilings up to 10ft high. Includes professional layout, precision cutting, and secure fastening. Price per square foot of ceiling surface area."
"Finish Drywall - Walls (Level 4 Smooth)",2.10,sqft,28.75,"Drywall (06040)","","Active",,,,"FLAT RATE: Labor to tape and finish drywall on walls to a professional Level 4 smooth, paint-ready finish. Includes pre-fill, tape coat, two finish coats, and detailed sanding. Price per sqft of wall area."
"Finish Drywall - Ceilings (Level 4 Smooth, up to 10ft)",2.80,sqft,28.75,"Drywall (06040)","","Active",,,,"FLAT RATE: Labor to tape and finish drywall on ceilings up to 10ft high to a professional Level 4 smooth, paint-ready finish. Includes all coats and detailed sanding. Price per sqft of ceiling area."
"Finish Drywall - Level 5 Skim Coat (Walls or Ceilings)",1.25,sqft,28.75,"Drywall (06040)","","Active",,,,"FLAT RATE: Labor to apply a final skim coat over a Level 4 finish to achieve a premium Level 5 finish suitable for high-gloss paints. Price per sqft of surface area. Add to Level 4 cost."
"Modifier: High Ceilings/Walls (10ft to 12ft)",0.75,sqft,28.75,"Drywall (06040)","","Active",,,,"MODIFIER: Additional cost per sqft for hanging or finishing drywall on surfaces between 10ft and 12ft high. Accounts for ladders/scaffolding and reduced productivity."
"Modifier: High Ceilings/Walls (12ft to 14ft)",1.25,sqft,28.75,"Drywall (06040)","","Active",,,,"MODIFIER: Additional cost per sqft for hanging or finishing drywall on surfaces between 12ft and 14ft high. Accounts for increased scaffolding and labor complexity."
"Modifier: Fire-Resistant Drywall (Type X)",0.35,sqft,28.75,"Drywall (06040)","","Active",,,,"MODIFIER: Additional cost per sqft for installing heavier Type X fire-resistant drywall. Accounts for increased weight, handling, and cutting difficulty."
"Apply Texture - Walls (Knockdown or Orange Peel)",0.95,sqft,28.75,"Drywall (06040)","","Active",,,,"FLAT RATE: Labor to apply a standard knockdown or orange peel texture to prepared wall surfaces. Includes professional masking and cleanup. Price per sqft of wall area."
"Apply Texture - Ceilings (Knockdown or Orange Peel, up to 10ft)",1.35,sqft,28.75,"Drywall (06040)","","Active",,,,"FLAT RATE: Labor to apply a standard knockdown or orange peel texture to prepared ceiling surfaces up to 10ft high. Includes professional masking and cleanup. Price per sqft of ceiling area."
"Remove Popcorn Texture (Unpainted)",2.25,sqft,28.75,"Drywall (06040)","","Active",,,,"FLAT RATE: Labor to remove unpainted popcorn ceiling texture. Includes extensive masking, wetting, scraping, and disposal prep. Does not include skim coating or re-finishing."
